,base,target,market,last,volume,converted_last,converted_volume,trust_score,bid_ask_spread_percentage,timestamp,last_traded_at,last_fetch_at,is_anomaly,is_stale,trade_url,token_info_url,coin_id,target_coin_id
1,BTC,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",62307.15,21433.30668,"{'btc': 1.000035, 'eth': 25.516116, 'usd': 62271, 'usd_v2': 62270}","{'btc': 21496, 'eth': 548474, 'usd': 1338528425, 'usd_v2': 1338511981}",green,0.010016,2024-10-08T20:13:33+00:00,2024-10-08T20:13:33+00:00,2024-10-08T20:15:31+00:00,False,False,https://www.binance.com/en/trade/BTC_USDT?ref=37754157,,bitcoin,tether
3,ETH,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",2441.8,218585.066,"{'btc': 0.03919302, 'eth': 1.000018, 'usd': 2440.5, 'usd_v2': 2440.35}","{'btc': 8532, 'eth': 217707, 'usd': 531305227, 'usd_v2': 531272912}",green,0.010409,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:15:08+00:00,False,False,https://www.binance.com/en/trade/ETH_USDT?ref=37754157,,ethereum,tether
4,SUI,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1.978,161866431.7,"{'btc': 3.177e-05, 'eth': 0.00081088, 'usd': 1.98, 'usd_v2': 1.98}","{'btc': 5267, 'eth': 134444, 'usd': 327826113, 'usd_v2': 327765693}",green,0.015049,2024-10-08T20:01:25+00:00,2024-10-08T20:01:25+00:00,2024-10-08T20:01:25+00:00,False,False,https://www.binance.com/en/trade/SUI_USDT?ref=37754157,,sui,tether
6,SOL,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",143.78,2435954.973,"{'btc': 0.00230784, 'eth': 0.05892494, 'usd': 143.71, 'usd_v2': 143.7}","{'btc': 5627, 'eth': 143674, 'usd': 350389758, 'usd_v2': 350377405}",green,0.016987,2024-10-08T19:55:10+00:00,2024-10-08T19:55:10+00:00,2024-10-08T19:55:10+00:00,False,False,https://www.binance.com/en/trade/SOL_USDT?ref=37754157,,solana,tether
8,BNB,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",585.5,290297.533,"{'btc': 0.00939779, 'eth': 0.23978647, 'usd': 585.19, 'usd_v2': 585.15}","{'btc': 2672, 'eth': 68183, 'usd': 166398262, 'usd_v2': 166388141}",green,0.017079,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:15:08+00:00,False,False,https://www.binance.com/en/trade/BNB_USDT?ref=37754157,,binancecoin,tether
11,WIF,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",2.45,93600154.38,"{'btc': 3.935e-05, 'eth': 0.00100438, 'usd': 2.45, 'usd_v2': 2.45}","{'btc': 3783, 'eth': 96569, 'usd': 235432818, 'usd_v2': 235429028}",green,0.040601,2024-10-08T20:02:30+00:00,2024-10-08T20:02:30+00:00,2024-10-08T20:02:30+00:00,False,False,https://www.binance.com/en/trade/WIF_USDT?ref=37754157,,dogwifcoin,tether
12,TAO,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",615.5,142834.6853,"{'btc': 0.00989892, 'eth': 0.25279789, 'usd': 615.27, 'usd_v2': 615.16}","{'btc': 1435, 'eth': 36638, 'usd': 89171988, 'usd_v2': 89156134}",green,0.016139,2024-10-08T20:05:28+00:00,2024-10-08T20:05:28+00:00,2024-10-08T20:05:28+00:00,False,False,https://www.binance.com/en/trade/TAO_USDT?ref=37754157,,bittensor,tether
13,DOGE,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.10737,862237951.0,"{'btc': 1.72e-06, 'eth': 4.397e-05, 'usd': 0.107313, 'usd_v2': 0.107306}","{'btc': 1500, 'eth': 38279, 'usd': 93418966, 'usd_v2': 93413284}",green,0.019324,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,False,False,https://www.binance.com/en/trade/DOGE_USDT?ref=37754157,,dogecoin,tether
14,XRP,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.53,170335430.0,"{'btc': 8.51e-06, 'eth': 0.00021718, 'usd': 0.529795, 'usd_v2': 0.529702}","{'btc': 1449, 'eth': 36985, 'usd': 90224917, 'usd_v2': 90209120}",green,0.018861,2024-10-08T20:00:24+00:00,2024-10-08T20:00:24+00:00,2024-10-08T20:00:24+00:00,False,False,https://www.binance.com/en/trade/XRP_USDT?ref=37754157,,ripple,tether
15,FTM,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.6688,94607772.0,"{'btc': 1.073e-05, 'eth': 0.0002739, 'usd': 0.668445, 'usd_v2': 0.668404}","{'btc': 1030, 'eth': 26291, 'usd': 64163196, 'usd_v2': 64159293}",green,0.014939,2024-10-08T20:14:20+00:00,2024-10-08T20:14:20+00:00,2024-10-08T20:15:09+00:00,False,False,https://www.binance.com/en/trade/FTM_USDT?ref=37754157,,fantom,tether
16,SEI,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.4378,211204737.8,"{'btc': 7.03e-06, 'eth': 0.0001793, 'usd': 0.437568, 'usd_v2': 0.437541}","{'btc': 1495, 'eth': 38135, 'usd': 93066143, 'usd_v2': 93060483}",green,0.022841,2024-10-08T20:15:15+00:00,2024-10-08T20:15:15+00:00,2024-10-08T20:15:15+00:00,False,False,https://www.binance.com/en/trade/SEI_USDT?ref=37754157,,sei-network,tether
17,RUNE,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",5.043,13400269.5,"{'btc': 8.094e-05, 'eth': 0.00206532, 'usd': 5.04, 'usd_v2': 5.04}","{'btc': 1082, 'eth': 27599, 'usd': 67353127, 'usd_v2': 67349030}",green,0.019818,2024-10-08T20:14:20+00:00,2024-10-08T20:14:20+00:00,2024-10-08T20:15:11+00:00,False,False,https://www.binance.com/en/trade/RUNE_USDT?ref=37754157,,thorchain,tether
18,PEPE,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",9.59e-06,31697956640837.0,"{'btc': 1.53928e-10, 'eth': 3.928e-09, 'usd': 9.58e-06, 'usd_v2': 9.58e-06}","{'btc': 4945, 'eth': 126161, 'usd': 307890363, 'usd_v2': 307871637}",green,0.104275,2024-10-08T20:15:15+00:00,2024-10-08T20:15:15+00:00,2024-10-08T20:15:15+00:00,False,False,https://www.binance.com/en/trade/PEPE_USDT?ref=37754157,,pepe,tether
19,NEAR,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",4.937,10747404.7,"{'btc': 7.924e-05, 'eth': 0.00202191, 'usd': 4.93, 'usd_v2': 4.93}","{'btc': 866.902, 'eth': 22119, 'usd': 53980968, 'usd_v2': 53977685}",green,0.020255,2024-10-08T20:15:12+00:00,2024-10-08T20:15:12+00:00,2024-10-08T20:15:12+00:00,False,False,https://www.binance.com/en/trade/NEAR_USDT?ref=37754157,,near,tether
22,ARB,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.5425,55768700.7,"{'btc': 8.71e-06, 'eth': 0.00022226, 'usd': 0.542384, 'usd_v2': 0.542195}","{'btc': 490.73, 'eth': 12527, 'usd': 30568996, 'usd_v2': 30558362}",green,0.01845,2024-10-08T19:58:32+00:00,2024-10-08T19:58:32+00:00,2024-10-08T19:58:32+00:00,False,False,https://www.binance.com/en/trade/ARB_USDT?ref=37754157,,arbitrum,tether
23,AAVE,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",143.68,131132.55,"{'btc': 0.00230578, 'eth': 0.05888217, 'usd': 143.58, 'usd_v2': 143.6}","{'btc': 305.494, 'eth': 7801, 'usd': 19022870, 'usd_v2': 19025533}",green,0.013923,2024-10-08T19:57:06+00:00,2024-10-08T19:57:06+00:00,2024-10-08T19:57:06+00:00,False,False,https://www.binance.com/en/trade/AAVE_USDT?ref=37754157,,aave,tether
24,RENDER,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",5.255,4357383.96,"{'btc': 8.435e-05, 'eth': 0.00215214, 'usd': 5.25, 'usd_v2': 5.25}","{'btc': 369.44, 'eth': 9426, 'usd': 23004604, 'usd_v2': 23003205}",green,0.019029,2024-10-08T20:14:28+00:00,2024-10-08T20:14:28+00:00,2024-10-08T20:15:17+00:00,False,False,https://www.binance.com/en/trade/RENDER_USDT?ref=37754157,,render-token,tether
25,JUP,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.7422,20429051.7,"{'btc': 1.191e-05, 'eth': 0.00030396, 'usd': 0.741806, 'usd_v2': 0.741761}","{'btc': 247.438, 'eth': 6313, 'usd': 15407679, 'usd_v2': 15406742}",green,0.013473,2024-10-08T20:14:26+00:00,2024-10-08T20:14:26+00:00,2024-10-08T20:15:16+00:00,False,False,https://www.binance.com/en/trade/JUP_USDT?ref=37754157,,jupiter-exchange-solana,tether
26,FET,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1.433,48765988.8,"{'btc': 2.3e-05, 'eth': 0.00058687, 'usd': 1.43, 'usd_v2': 1.43}","{'btc': 1136, 'eth': 28976, 'usd': 70715961, 'usd_v2': 70711660}",green,0.069735,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,2024-10-08T20:15:10+00:00,False,False,https://www.binance.com/en/trade/FET_USDT?ref=37754157,,fetch-ai,tether
27,AVAX,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",26.43,1407735.78,"{'btc': 0.00042455, 'eth': 0.01083308, 'usd': 26.42, 'usd_v2': 26.42}","{'btc': 601.082, 'eth': 15338, 'usd': 37399236, 'usd_v2': 37398866}",green,0.03785,2024-10-08T20:08:14+00:00,2024-10-08T20:08:14+00:00,2024-10-08T20:09:19+00:00,False,False,https://www.binance.com/en/trade/AVAX_USDT?ref=37754157,,avalanche-2,tether
28,SHIB,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",1.713e-05,3297196207704.0,"{'btc': 2.75416e-10, 'eth': 7.03e-09, 'usd': 1.713e-05, 'usd_v2': 1.712e-05}","{'btc': 925.517, 'eth': 23625, 'usd': 57548468, 'usd_v2': 57532275}",green,0.058207,2024-10-08T20:03:25+00:00,2024-10-08T20:03:25+00:00,2024-10-08T20:03:25+00:00,False,False,https://www.binance.com/en/trade/SHIB_USDT?ref=37754157,,shiba-inu,tether
29,BONK,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",2.098e-05,2144600458649.0,"{'btc': 3.36936e-10, 'eth': 8.595e-09, 'usd': 2.098e-05, 'usd_v2': 2.097e-05}","{'btc': 729.217, 'eth': 18602, 'usd': 45401628, 'usd_v2': 45382080}",green,0.047664,2024-10-08T20:13:09+00:00,2024-10-08T20:13:09+00:00,2024-10-08T20:13:09+00:00,False,False,https://www.binance.com/en/trade/BONK_USDT?ref=37754157,,bonk,tether
30,TRX,USDT,"{'name': 'Binance', 'identifier': 'binance', 'has_trading_incentive': False}",0.1599,301491493.3,"{'btc': 2.57e-06, 'eth': 6.549e-05, 'usd': 0.159815, 'usd_v2': 0.159805}","{'btc': 760.593, 'eth': 19407, 'usd': 47361240, 'usd_v2': 47358359}",green,0.0625,2024-10-08T20:14:19+00:00,2024-10-08T20:14:19+00:00,2024-10-08T20:15:09+00:00,False,False,https://www.binance.com/en/trade/TRX_USDT?ref=37754157,,tron,tether
