" Nom de la classe d’actions"," Classe d’actifs","Devise","ISIN"," Date de valorisation","VL"," Evolution quotidienne en valeur"," Evolution quotidienne en %"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","09.10.2024"," 436,5651"," 0,7528"," 0,1727"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.10.2024"," 435,8123"," 0,2923"," 0,0671"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","07.10.2024"," 435,5200"," -1,7204"," -0,3935"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","04.10.2024"," 437,2404"," 2,2586"," 0,5192"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","03.10.2024"," 434,9818"," -3,3737"," -0,7696"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","02.10.2024"," 438,3555"," -4,9127"," -1,1083"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","01.10.2024"," 443,2682"," -0,4161"," -0,0938"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","30.09.2024"," 443,6843"," -3,9668"," -0,8861"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","27.09.2024"," 447,6511"," -0,8296"," -0,1850"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.09.2024"," 448,4807"," 4,4309"," 0,9978"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","25.09.2024"," 444,0498"," -0,0235"," -0,0053"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","24.09.2024"," 444,0733"," 0,7125"," 0,1607"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","23.09.2024"," 443,3608"," -1,0512"," -0,2365"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","20.09.2024"," 444,4120"," 0,0413"," 0,0093"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","19.09.2024"," 444,3707"," 6,0558"," 1,3816"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","18.09.2024"," 438,3149"," -1,8972"," -0,4310"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","17.09.2024"," 440,2121"," 3,8060"," 0,8721"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","16.09.2024"," 436,4061"," 2,7624"," 0,6370"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","13.09.2024"," 433,6437"," 2,6839"," 0,6228"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.09.2024"," 430,9598"," 4,3680"," 1,0239"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","11.09.2024"," 426,5918"," 1,2712"," 0,2989"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","10.09.2024"," 425,3206"," 1,4276"," 0,3368"
